feature,reduction,n_components,linear_accuracy,trustworthiness,silhouette,pearson_dist_corr
SOAP,NONE,,0.7455268389662028,,,
SOAP,PCA,1.0,0.510934393638171,0.9278948433821953,-0.5149199117090858,0.9890726017415928
SOAP,PCA,2.0,0.5467196819085487,0.9770987994815663,-0.46896129037585893,0.9979810729371594
SOAP,PCA,3.0,0.5546719681908548,0.9830082915191388,-0.44776416604849484,0.998855300455261
SOAP,PCA,4.0,0.5725646123260437,0.9982639867933826,-0.4072566188338256,0.9999119104601182
SOAP,PCA,5.0,0.6381709741550696,0.9996998843108582,-0.40096839472327983,0.9999777287121576
SOAP,UMAP,1.0,0.46322067594433397,0.9707549780333801,-0.6152210831642151,0.8609974505616428
SOAP,UMAP,2.0,0.5129224652087475,0.9932878345052708,-0.4715554416179657,0.7982726563142337
SOAP,UMAP,3.0,0.5864811133200796,0.9960075514108786,-0.4515170753002167,0.825860462781483
SOAP,UMAP,4.0,0.5685884691848907,0.9962470426490865,-0.4523962736129761,0.8329524135599572
SOAP,UMAP,5.0,0.5785288270377733,0.9962390887720287,-0.4468444287776947,0.7936930728647287
SOAP,TSNE,1.0,0.48906560636182905,0.9916089778591901,-0.5424140691757202,0.8733643034957315
SOAP,TSNE,2.0,0.5347912524850894,0.9964686058484062,-0.45637163519859314,0.6466521823401977
SOAP,TSNE,3.0,0.5566600397614314,0.9978887705970617,-0.36998042464256287,0.6045614079593955
inv_eigenval,NONE,,0.5666003976143141,,,
inv_eigenval,PCA,1.0,0.3956262425447316,0.5029153425118423,-0.5534478055579751,0.014464568294963847
inv_eigenval,PCA,2.0,0.4294234592445328,0.5024652485169001,-0.3635349686836458,0.03556358088595736
inv_eigenval,PCA,3.0,0.441351888667992,0.5063798286496266,-0.3363053004983226,0.03676092681517616
inv_eigenval,PCA,4.0,0.5208747514910537,0.5033122887002848,-0.3011051775765278,0.04560712385893179
inv_eigenval,PCA,5.0,0.5646123260437376,0.5056803647011708,-0.2642204160979387,0.03689460280393042
inv_eigenval,UMAP,1.0,0.36779324055666,0.5027338191296311,-0.3854752480983734,0.0056035913763853385
inv_eigenval,UMAP,2.0,0.36779324055666,0.4997136047487828,-0.4166494309902191,0.006613259589780263
inv_eigenval,UMAP,3.0,0.3658051689860835,0.4967350050527004,-0.27711039781570435,0.0003221792031693489
inv_eigenval,UMAP,4.0,0.36779324055666,0.505461553543313,-0.30382606387138367,0.0014199848037570943
inv_eigenval,UMAP,5.0,0.3717693836978131,0.5041712437915018,-0.3305197060108185,-0.012442495330272205
inv_eigenval,TSNE,1.0,0.4671968190854871,0.5042705718081986,-0.5760889053344727,0.018017784089155567
inv_eigenval,TSNE,2.0,0.49105367793240556,0.5053211357977361,-0.32952162623405457,-0.0018313130349307228
inv_eigenval,TSNE,3.0,0.5089463220675944,0.5082119087833471,-0.26855039596557617,0.010958467219091788
inverse_dist_matrix,NONE,,0.6819085487077535,,,
inverse_dist_matrix,PCA,1.0,0.3797216699801193,0.693662549607337,-0.5008964159838101,0.9979539223234176
inverse_dist_matrix,PCA,2.0,0.3836978131212724,0.7498766552515275,-0.36723030133747275,0.9991455541861748
inverse_dist_matrix,PCA,3.0,0.4711729622266402,0.8213817236608355,-0.3157809549938566,0.9995681602164234
inverse_dist_matrix,PCA,4.0,0.5188866799204771,0.8730303515971584,-0.31802099522845456,0.9997840068301814
inverse_dist_matrix,PCA,5.0,0.6858846918489065,0.9719719053154567,-0.2651004843957813,0.9999682754073739
inverse_dist_matrix,UMAP,1.0,0.536779324055666,0.9263939785969122,-0.5404860973358154,0.09520059716028477
inverse_dist_matrix,UMAP,2.0,0.6858846918489065,0.9634577571577934,-0.35284921526908875,0.2549716668068429
inverse_dist_matrix,UMAP,3.0,0.7117296222664016,0.9762246047619066,-0.3474140465259552,0.2202851042392479
inverse_dist_matrix,UMAP,4.0,0.7117296222664016,0.9827710591820153,-0.3477153778076172,0.1447736298537981
inverse_dist_matrix,UMAP,5.0,0.7117296222664016,0.9836302210740359,-0.3532227873802185,0.1722869967337508
inverse_dist_matrix,TSNE,1.0,0.6540755467196819,0.970169572681932,-0.34734076261520386,0.14555013822790644
inverse_dist_matrix,TSNE,2.0,0.7037773359840954,0.9841607287660316,-0.2645941376686096,0.13046850473422672
inverse_dist_matrix,TSNE,3.0,0.6878727634194831,0.9879755831882082,-0.1835147738456726,0.12110889633107762
MBTR,NONE,,0.6381709741550696,,,
MBTR,PCA,1.0,0.3757455268389662,0.6696237855921084,-0.36889280748219816,0.6138536398414357
MBTR,PCA,2.0,0.415506958250497,0.7805934308133993,-0.2903029669304236,0.7217709010005159
MBTR,PCA,3.0,0.49502982107355864,0.8577059189173819,-0.2170408602804486,0.7923210839234471
MBTR,PCA,4.0,0.5049701789264414,0.9080386733410301,-0.20133794380964487,0.8435041673056607
MBTR,PCA,5.0,0.5347912524850894,0.9405591655110346,-0.19529256889712066,0.8857782906294014
MBTR,UMAP,1.0,0.49105367793240556,0.8131440681774526,-0.3956415355205536,0.23878413968450315
