IC_Spawn,from_state,to_state,singlet_1,singlet_2,singlet_3
0012_2,2,1,-154.65302841,-154.64795102,-154.49207056
0012_3,2,1,-154.65545329,-154.65156965,-154.4825965
0012_4,2,1,-154.64237086,-154.63489987,-154.46998393
0013_2,2,1,-154.64442593,-154.64098923,-154.44781905
0013_3,2,1,-154.68181658,-154.6789804,-154.49813105
0014_10,3,2,-154.79317031,-154.62728941,-154.6270632
0014_11,3,2,-154.76877558,-154.62164927,-154.61723436
0014_12,2,1,-154.6356585,-154.63082074,-154.43918421
0014_13,2,1,-154.66797318,-154.66607181,-154.49807684
0014_2,2,3,-154.89264377,-154.6212211,-154.61906345
0014_3,3,2,-154.83538773,-154.62722208,-154.61835448
0014_4,2,1,-154.66639217,-154.66052022,-154.48398101
0014_5,1,2,-154.67678426,-154.64832905,-154.47719176
0014_6,3,2,-154.83941876,-154.60168193,-154.60105896
0014_7,3,2,-154.8107771,-154.62121966,-154.61250222
0014_8,2,1,-154.6511534,-154.65063984,-154.43195385
0014_9,3,2,-154.78316327,-154.61498912,-154.60999181
0015_10,2,1,-154.68679044,-154.68558557,-154.48098338
0015_11,2,1,-154.65048872,-154.64935081,-154.47029544
0015_12,2,1,-154.68179314,-154.67922816,-154.4884057
0015_2,2,3,-154.90743419,-154.63437565,-154.62832067
0015_3,3,2,-154.81874628,-154.64851944,-154.64530288
0015_4,3,2,-154.78029145,-154.66123192,-154.65342481
0015_5,3,2,-154.79815804,-154.66458536,-154.65959537
0015_6,2,3,-154.77868089,-154.6474683,-154.64069291
0015_7,3,2,-154.78326977,-154.65788296,-154.65455993
0015_8,3,2,-154.7464804,-154.6331498,-154.63019176
0015_9,2,3,-154.75282157,-154.64211151,-154.63601325
0016_10,3,2,-154.74209444,-154.62030597,-154.61701368
0016_11,2,1,-154.66925415,-154.6622715,-154.45240725
0016_12,2,1,-154.67620941,-154.64548484,-154.47339087
0016_13,2,1,-154.65020683,-154.64961759,-154.45288917
0016_14,2,1,-154.65317847,-154.65233236,-154.47314313
0016_15,2,1,-154.65103016,-154.64522296,-154.47745864
0016_16,2,1,-154.65608013,-154.65423626,-154.49779998
0016_2,2,3,-154.88808477,-154.61646815,-154.6161653
0016_3,3,2,-154.75198064,-154.62859071,-154.62419865
0016_4,2,1,-154.67324639,-154.66584051,-154.4942146
0016_5,2,1,-154.68095778,-154.67400064,-154.50054594
0016_6,3,2,-154.75729586,-154.63703547,-154.6298542
0016_7,3,2,-154.77674761,-154.64304517,-154.63822153
0016_8,3,2,-154.73764761,-154.62940232,-154.62532014
0016_9,2,3,-154.74533244,-154.64161057,-154.63877041
0017_2,2,1,-154.64238874,-154.63207,-154.46691441
0017_3,2,1,-154.64720904,-154.6461751,-154.44852212
0018_2,2,1,-154.67587047,-154.67320997,-154.50141262
0019_2,2,1,-154.64882061,-154.64031654,-154.46146377
0019_3,2,1,-154.66134461,-154.65468747,-154.46156096
0019_4,2,1,-154.58917937,-154.57998516,-154.41575799
0019_5,2,1,-154.61405096,-154.61308619,-154.43272521
0020_10,2,1,-154.630333,-154.62895325,-154.50200097
0020_2,2,3,-154.85686515,-154.58647209,-154.58179652
0020_3,3,2,-154.76309365,-154.66177399,-154.6590117
0020_4,3,2,-154.74103937,-154.59010832,-154.58554177
0020_5,3,2,-154.78749805,-154.63609974,-154.62299456
0020_6,2,1,-154.61657278,-154.6145848,-154.42618747
0020_7,2,1,-154.62393637,-154.61987982,-154.44284205
0020_8,2,1,-154.63537571,-154.63182083,-154.43317106
0020_9,2,1,-154.63435479,-154.62874175,-154.5195965
0021_2,2,1,-154.60408913,-154.59720724,-154.41155012
0021_3,2,1,-154.60356894,-154.59671534,-154.41647001
0021_4,2,1,-154.63313881,-154.62219697,-154.43784819
0021_5,2,1,-154.63533024,-154.63414811,-154.45863588
0022_2,2,1,-154.68367398,-154.6772255,-154.49022738
0022_3,2,1,-154.66331756,-154.66295262,-154.49652473
0022_4,2,1,-154.6528068,-154.65074191,-154.42683768
0023_10,3,2,-154.75516777,-154.62725444,-154.62312275
0023_11,3,2,-154.75958686,-154.649121,-154.64783076
0023_12,2,1,-154.68641682,-154.68002806,-154.43883872
0023_13,2,1,-154.66585221,-154.66365595,-154.48417916
0023_14,2,1,-154.67332836,-154.67277205,-154.50312707
0023_15,2,1,-154.7090154,-154.70588456,-154.66004446
0023_16,2,1,-154.71262642,-154.70379587,-154.57266966
0023_17,2,1,-154.70163143,-154.69652108,-154.64817773
0023_2,2,3,-154.90688071,-154.63675345,-154.63314546
0023_3,3,2,-154.74006282,-154.63704476,-154.63510094
0023_4,3,2,-154.75820852,-154.62994489,-154.6280123
0023_5,3,2,-154.77813326,-154.64558937,-154.63872502
0023_6,2,3,-154.78168862,-154.65064021,-154.64438019
0023_7,3,2,-154.77567034,-154.64380022,-154.63813262
0023_8,2,3,-154.7687603,-154.65157304,-154.64750313
0023_9,2,1,-154.6516973,-154.64821598,-154.51134757
0024_2,2,3,-154.90966118,-154.64197918,-154.63677845
0024_3,3,2,-154.79496446,-154.65011492,-154.64581689
0024_4,2,1,-154.68779381,-154.6801886,-154.51329629
0024_5,2,1,-154.67244475,-154.67098764,-154.50108975
0024_6,2,1,-154.68462842,-154.68276877,-154.47183962
0024_7,2,1,-154.67435864,-154.67307168,-154.49818625
0025_10,2,1,-154.70148414,-154.69897508,-154.50316497
0025_11,2,1,-154.69618186,-154.68485411,-154.47115152
0025_12,2,1,-154.67366236,-154.66377314,-154.52857063
0025_13,2,1,-154.67068215,-154.66411858,-154.51882232
0025_14,2,3,-154.84436974,-154.65177011,-154.64483988
0025_15,2,1,-154.68478673,-154.67072909,-154.46311471
0025_16,2,1,-154.64838958,-154.64646101,-154.48449232
0025_17,2,1,-154.66580715,-154.65535611,-154.48806091
0025_2,2,3,-154.89404716,-154.62585834,-154.6212462
0025_3,2,3,-154.89157214,-154.62704332,-154.62118933
0025_4,3,2,-154.87517469,-154.64039983,-154.63677176
0025_5,3,2,-154.87826074,-154.63454455,-154.6329904
0025_6,3,2,-154.79281676,-154.65127605,-154.64559336
0025_7,3,2,-154.79543569,-154.6619463,-154.65788685
0025_8,3,2,-154.81357619,-154.65301311,-154.65278837
0025_9,2,3,-154.79349518,-154.65416748,-154.64308288
0027_10,2,3,-154.69115946,-154.59384437,-154.58907459
