idx,cluster
0759_8,2
0537_3,2
0572_3,0
0824_2,0
0067_2,2
0861_2,0
0022_2,0
0318_4,0
0106_4,0
0945_4,2
0592_4,2
0143_4,2
0900_4,0
0041_3,1
0802_3,2
0279_2,2
0490_3,2
0004_3,1
0511_2,0
0729_3,2
0554_2,1
0693_4,0
0839_5,2
0791_3,2
0178_2,0
0305_3,2
0428_3,0
0610_2,1
0284_2,1
0655_2,1
0712_5,0
0826_2,1
0065_2,0
0863_2,2
0020_2,0
0328_10,2
0013_16,2
0629_6,2
0535_3,1
0748_2,0
0399_2,2
0570_3,0
0364_2,0
0321_2,0
0119_3,0
0858_4,0
0773_4,2
0634_3,2
0710_7,2
0671_3,2
0098_2,0
0449_2,2
0124_3,2
0788_2,1
0161_3,2
0359_2,0
0820_4,0
0063_4,2
0865_4,2
0026_4,0
0474_2,1
0609_3,1
0225_3,0
0058_2,1
0260_3,0
0489_2,0
0632_5,0
0775_2,0
0730_2,2
0338_3,0
0100_2,2
0943_2,2
0594_2,1
0906_2,0
0668_2,1
0081_3,0
0450_3,1
0887_3,0
0415_3,2
0517_4,2
0552_4,0
0201_2,1
0039_3,2
0244_2,0
0695_2,2
0751_3,0
0569_2,0
0714_3,0
0616_4,2
0653_4,2
0653_5,2
0569_3,0
0751_2,0
0714_2,2
0039_2,1
0201_3,1
0695_3,2
0244_3,0
0552_5,2
0450_2,1
0081_2,0
0415_2,0
0887_2,2
0943_3,2
0100_3,2
0338_2,1
0906_3,2
0594_3,1
0496_4,0
0841_4,2
0775_3,0
0730_3,2
0508_2,1
0632_4,0
0677_4,0
0225_2,2
0260_2,0
0058_3,2
0474_3,1
0609_2,1
0063_5,0
0820_5,2
0026_5,0
0865_5,2
0124_2,2
0359_3,2
0161_2,0
0922_2,1
0710_6,2
0634_2,0
0449_3,2
0098_3,0
0671_2,2
0858_5,2
0364_3,2
0119_2,2
0321_3,0
0535_2,0
0570_2,0
0399_3,0
0748_3,0
0013_17,2
0122_4,0
0826_3,1
0020_3,0
0863_3,2
0218_2,1
0712_4,0
0610_3,1
0428_2,0
0549_6,0
0655_3,2
0340_2,1
0178_3,0
0791_2,0
0305_2,1
0839_4,2
0693_5,2
0456_4,2
0413_4,1
0881_4,0
0729_2,2
0511_3,0
0554_3,2
0490_2,2
0279_3,0
0802_2,2
0041_2,1
0847_2,0
0004_2,1
0945_5,0
0592_5,2
0553_2,2
0182_2,2
0516_2,0
0414_5,2
0669_4,0
0144_4,0
0339_5,2
0840_3,0
0805_3,2
0046_3,2
0497_3,2
0776_6,2
0283_2,1
0652_2,0
0617_2,2
0715_5,2
0245_4,2
0302_3,1
0263_7,2
0796_3,0
0347_3,2
0475_4,0
0940_6,0
0027_2,0
0864_2,0
0146_6,2
0821_2,2
0923_5,1
0125_5,0
0633_3,1
