IC_Spawn,from_state,to_state,singlet_1,singlet_2,singlet_3,meci_type
0000_2,3,2,-230.45255758,-230.32291981,-230.31822498,Type_2
0000_3,3,2,-230.41820398,-230.29947076,-230.29663191,Type_2
0000_5,3,2,-230.41011023,-230.31608427,-230.31431521,Type_2
0000_7,3,2,-230.39146418,-230.3162967,-230.30790468,Type_2
0000_8,3,2,-230.37022473,-230.31312255,-230.31147194,Type_2
0003_2,3,2,-230.41320257,-230.29868354,-230.29806813,Type_1
0008_2,3,2,-230.48635465,-230.31440017,-230.31347172,Type_1
0009_2,3,2,-230.48041013,-230.31355295,-230.31268499,Type_1
0009_5,3,2,-230.43292216,-230.32927894,-230.32580405,Type_1
0009_6,3,2,-230.45559301,-230.33102766,-230.32139494,Type_1
0009_7,3,2,-230.42737341,-230.31792986,-230.31550516,Type_2
0010_13,3,2,-230.39538434,-230.30631889,-230.29956192,Type_1
0010_14,3,2,-230.44011186,-230.32173776,-230.32066689,Type_1
0010_2,3,2,-230.41745868,-230.3176796,-230.29741716,Type_1
0010_6,3,2,-230.46653891,-230.3195779,-230.31467408,Type_1
0010_7,3,2,-230.43445994,-230.29573572,-230.29002052,Type_1
0010_8,3,2,-230.44342174,-230.3095933,-230.30018804,Type_1
0010_9,3,2,-230.44703753,-230.31916011,-230.31134053,Type_1
0011_2,3,2,-230.50201938,-230.34006692,-230.33423451,Type_1
0011_3,3,2,-230.50102462,-230.35525473,-230.34925104,Type_1
0011_5,3,2,-230.49364439,-230.35258853,-230.34983004,Type_1
0011_8,3,2,-230.43666583,-230.33952111,-230.3323037,Type_1
0011_9,3,2,-230.45112601,-230.34833891,-230.34530166,Type_1
0012_2,3,2,-230.44704375,-230.33556964,-230.33147734,Type_1
0012_4,3,2,-230.40874704,-230.31828491,-230.31603012,Type_1
0012_6,3,2,-230.40237896,-230.31143934,-230.30732142,Type_1
0013_2,3,2,-230.50025049,-230.31824901,-230.31744506,Type_1
0013_3,3,2,-230.40184775,-230.32359481,-230.30986411,Type_1
0013_5,3,2,-230.40119367,-230.323989,-230.31869913,Type_1
0013_6,3,2,-230.39257284,-230.31116537,-230.30428579,Type_1
0013_7,3,2,-230.40663265,-230.31593324,-230.31221744,Type_1
0014_2,3,2,-230.46905865,-230.35069427,-230.34779575,Type_1
0014_6,3,2,-230.42096392,-230.33768468,-230.32699322,Type_1
0014_7,3,2,-230.43734529,-230.33269269,-230.33153845,Type_1
0015_2,3,2,-230.48094241,-230.34104754,-230.33283159,Type_1
0015_3,3,2,-230.42127581,-230.32208927,-230.31965377,Type_1
0015_4,3,2,-230.40558045,-230.31371905,-230.31227127,Type_1
0016_2,3,2,-230.49754912,-230.34418034,-230.33566457,Type_1
0016_3,3,2,-230.50033923,-230.33408658,-230.32910235,Type_1
0016_5,3,2,-230.43341509,-230.32282662,-230.32036968,Type_1
0016_6,3,2,-230.44172963,-230.31460054,-230.31182549,Type_1
0017_2,3,2,-230.47050947,-230.33319498,-230.32677518,Type_1
0017_3,3,2,-230.42346598,-230.32428115,-230.31627419,Type_1
0017_5,3,2,-230.40778778,-230.32557838,-230.3222091,Type_1
0017_6,3,2,-230.42090811,-230.30868779,-230.30766288,Type_1
0019_2,3,2,-230.45998657,-230.33282028,-230.32724087,Type_2
0019_3,3,2,-230.38862166,-230.32078472,-230.31951528,Type_2
0019_4,3,2,-230.38607963,-230.31365754,-230.31184668,Type_2
0020_2,3,2,-230.43709576,-230.34375268,-230.33962237,Type_1
0020_3,3,2,-230.4577889,-230.35201075,-230.34878573,Type_1
0020_5,3,2,-230.44843439,-230.34368727,-230.33804619,Type_1
0021_2,3,2,-230.48612756,-230.31866155,-230.31631448,Type_2
0021_3,3,2,-230.46078543,-230.32289122,-230.3116502,Type_2
0021_6,3,2,-230.49385727,-230.320778,-230.31843841,Type_1
0021_7,3,2,-230.48231406,-230.33514734,-230.32771186,Type_1
0023_2,3,2,-230.43674652,-230.32495617,-230.32342979,Type_1
0023_3,3,2,-230.39250542,-230.32824041,-230.32794565,Type_1
0023_4,3,2,-230.38022911,-230.30623036,-230.30119521,Type_1
0026_15,3,2,-230.36594988,-230.30389581,-230.29409538,Type_2
0026_16,3,2,-230.3752249,-230.31316349,-230.30413099,Type_2
0026_2,3,2,-230.3881506,-230.32888377,-230.32559338,Type_2
0026_3,3,2,-230.35829505,-230.30578262,-230.30570183,Type_2
0026_8,3,2,-230.40254631,-230.30508567,-230.30210051,Type_2
0029_2,3,2,-230.4832884,-230.33949615,-230.32934954,Type_1
0029_5,3,2,-230.39759114,-230.33586929,-230.32703553,Type_1
0029_6,3,2,-230.39275735,-230.32972451,-230.32617336,Type_1
0029_8,3,2,-230.45632302,-230.32190455,-230.32115053,Type_1
0030_12,3,2,-230.41526855,-230.29482095,-230.28778953,Type_1
0030_2,3,2,-230.48921575,-230.30968579,-230.30610231,Type_1
0030_3,3,2,-230.478422,-230.32879899,-230.31713024,Type_1
0030_5,3,2,-230.42311025,-230.32968157,-230.32060103,Type_1
0030_7,3,2,-230.41846466,-230.33244441,-230.32043416,Type_1
0030_8,3,2,-230.41471939,-230.31182645,-230.30278192,Type_1
0031_2,3,2,-230.45218375,-230.30396609,-230.30348406,Type_2
0031_3,3,2,-230.43653987,-230.33061028,-230.32574869,Type_2
0031_5,3,2,-230.3950912,-230.32784773,-230.32377814,Type_2
0031_9,3,2,-230.36495696,-230.31511228,-230.31365536,Type_2
0032_2,3,2,-230.44208462,-230.34652835,-230.34291132,Type_1
0032_4,3,2,-230.42977558,-230.32831791,-230.32498182,Type_1
0032_5,3,2,-230.42933103,-230.3342605,-230.33097421,Type_1
0032_6,3,2,-230.40621063,-230.32624226,-230.31902813,Type_1
0033_2,3,2,-230.40774855,-230.31740322,-230.31698686,Type_1
0033_3,3,2,-230.40851922,-230.3151926,-230.31175367,Type_1
0033_5,3,2,-230.39194198,-230.2973871,-230.29629241,Type_2
0034_2,3,2,-230.40049735,-230.31939842,-230.31126224,Type_2
0034_3,3,2,-230.39986217,-230.30769414,-230.30650236,Type_2
0034_5,3,2,-230.38149515,-230.31302884,-230.30812656,Type_2
0034_6,3,2,-230.3849294,-230.31754903,-230.31660213,Type_2
0035_2,3,2,-230.43427214,-230.31699599,-230.31423722,Type_1
