IC_Spawn,singlet_1,singlet_2,meci_type
0328_7,-77.76059374,-77.76003362,Ethylidene_Straight
0328_8,-77.77785816,-77.77488714,Ethylidene_Bent
0328_9,-77.82493638,-77.82237086,Ethylidene_Bent
0329_2,-77.72136118,-77.71859133,Twist
0329_3,-77.76607844,-77.75754446,Ethylidene_Bent
0329_4,-77.776574,-77.77530831,Ethylidene_Bent
0330_2,-77.71793125,-77.71136199,Ethylidene_Straight
0330_3,-77.80684542,-77.79933662,Twist
0330_4,-77.76903984,-77.7676141,Twist
0331_2,-77.7822868,-77.77349884,Twist
0331_3,-77.72389843,-77.72181551,Ethylidene_Straight
0332_2,-77.76527778,-77.7577154,Twist
0332_3,-77.76856396,-77.76130899,Twist
0332_4,-77.70857193,-77.70311134,0904_3
0332_5,-77.78489082,-77.78454737,Ethylidene_Straight
0332_6,-77.76402591,-77.75808944,Twist
0333_2,-77.74855521,-77.74363202,Twist
0333_3,-77.73071165,-77.73025826,Ethylidene_Bent
0334_2,-77.73951067,-77.73358077,Twist
0334_3,-77.73521691,-77.73143301,Twist
0334_4,-77.73636979,-77.73378868,Ethylidene_Straight
0334_5,-77.7470263,-77.74687637,Ethylidene_Bent
0334_6,-77.71247674,-77.71238884,Ethylidene_Bent
0335_2,-77.67144967,-77.67086201,CC_Dissociation
0336_2,-77.71531881,-77.70901114,H_Dissociation
0336_3,-77.71636818,-77.70629914,H_Dissociation
0336_5,-77.69658356,-77.69246415,Twist
0337_2,-77.7468671,-77.74521776,Twist
0338_2,-77.70531902,-77.70102664,Ethylidene_Straight
0338_3,-77.77794936,-77.77782421,Ethylidene_Straight
0338_4,-77.72242162,-77.72117001,Ethylidene_Straight
0339_2,-77.7107208,-77.70097072,CC_Dissociation
0339_3,-77.75370485,-77.7531295,Ethylidene_Straight
0339_4,-77.71731426,-77.71481636,Ethylidene_Bent
0339_5,-77.76348494,-77.76332108,Ethylidene_Straight
0340_2,-77.71022545,-77.70872135,H_Dissociation
0341_2,-77.79418096,-77.79109261,Ethylidene_Bent
0341_3,-77.70464215,-77.7031204,0341_3
0342_2,-77.75363042,-77.74393002,Twist
0342_3,-77.81680936,-77.81557886,Ethylidene_Bent
