IC_Spawn,from_state,to_state,singlet_1,singlet_2,singlet_3,meci_type
0106_9,2,1,-230.37233474,-230.36895894,-230.22117973,Type_1
0108_10,2,1,-230.30774305,-230.30753298,-230.22274245,Type_2
0108_3,2,1,-230.32014849,-230.31112191,-230.22888192,Type_3
0108_5,2,1,-230.34084944,-230.33958326,-230.22234447,Type_3
0108_6,2,1,-230.32291556,-230.31775411,-230.22946533,Type_3
0108_8,2,1,-230.3306856,-230.32801588,-230.22037268,Type_3
0108_9,2,1,-230.3441277,-230.34206781,-230.26947423,Type_3
0109_10,2,1,-230.33783421,-230.33015935,-230.20720795,Type_1
0109_11,2,1,-230.32613739,-230.32032893,-230.21997319,Type_1
0109_12,2,1,-230.35545764,-230.35054502,-230.24571508,Type_1
0109_13,2,1,-230.34473171,-230.33434721,-230.21015317,Type_2
0109_14,2,1,-230.36406191,-230.35946755,-230.2328704,Type_1
0109_4,2,1,-230.38112277,-230.37735132,-230.26192399,Type_3
0109_6,2,1,-230.33291917,-230.32777124,-230.22700359,Type_3
0109_7,2,1,-230.33430755,-230.31942152,-230.20910676,Type_3
0109_8,2,1,-230.32475003,-230.31912598,-230.19221953,Type_1
0109_9,2,1,-230.32011927,-230.31918126,-230.21319792,Type_3
0111_10,2,1,-230.35447786,-230.34851058,-230.24514616,Type_1
0111_11,2,1,-230.3718065,-230.35883167,-230.24035727,Type_1
0111_12,2,1,-230.34486956,-230.34360532,-230.27107947,Type_3
0111_3,2,1,-230.36385767,-230.36297063,-230.25825425,Type_3
0111_5,2,1,-230.35481912,-230.34408132,-230.23476702,Type_3
0111_7,2,1,-230.36684688,-230.36155199,-230.25893498,Type_3
0111_8,2,1,-230.33382864,-230.32909426,-230.23524859,Type_3
0111_9,2,1,-230.38127231,-230.37280541,-230.25961919,Type_1
0112_10,2,1,-230.38880817,-230.38074322,-230.28682697,Type_3
0112_11,2,1,-230.38557197,-230.37118814,-230.27404601,Type_3
0112_12,2,1,-230.38745222,-230.37163068,-230.27809805,Type_3
0112_13,2,1,-230.38529006,-230.38403026,-230.28161125,Type_3
0112_14,2,1,-230.37785578,-230.37773602,-230.26972366,Type_3
0112_15,2,1,-230.36712434,-230.35851162,-230.26343375,Type_3
0112_16,2,1,-230.38475749,-230.37249725,-230.25500238,Type_2
0112_4,2,1,-230.38742276,-230.36673776,-230.24739446,Type_3
0112_6,2,1,-230.37547478,-230.36513112,-230.24471082,Type_3
0112_8,2,1,-230.38670982,-230.37752794,-230.26092303,Type_3
0114_3,2,1,-230.34735826,-230.34627216,-230.22137981,Type_2
0114_4,2,1,-230.34990922,-230.34233639,-230.21758368,Type_2
0114_5,2,1,-230.36652796,-230.36060642,-230.24571604,Type_2
0114_6,2,1,-230.33156384,-230.3272928,-230.24056814,Type_1
0116_10,2,1,-230.30806028,-230.30562713,-230.24908676,Type_1
0116_11,2,1,-230.33901943,-230.33657274,-230.2570014,Type_2
0116_13,2,1,-230.35422734,-230.34622207,-230.23845985,Type_2
0116_15,2,1,-230.31265704,-230.31186935,-230.1916244,Type_2
0116_16,2,1,-230.3357483,-230.33297239,-230.19135781,Type_1
0116_18,2,1,-230.33360465,-230.32295635,-230.21993494,Type_2
0116_19,2,1,-230.31968644,-230.31848818,-230.19267405,Type_1
0116_20,2,1,-230.33731988,-230.3321765,-230.21428766,Type_2
0116_21,2,1,-230.31885427,-230.30708106,-230.19460219,Type_1
0116_22,2,1,-230.34602558,-230.34224706,-230.2445008,Type_1
0116_8,2,1,-230.35254233,-230.34879376,-230.28256852,Type_2
0117_10,2,1,-230.36342115,-230.3524108,-230.24955886,Type_1
0117_11,2,1,-230.37590161,-230.36413956,-230.27408254,Type_2
0117_12,2,1,-230.36083387,-230.3523802,-230.25563737,Type_2
0117_13,2,1,-230.36946067,-230.35945248,-230.27438977,Type_2
0117_14,2,1,-230.35220696,-230.34569309,-230.26538073,Type_2
0117_15,2,1,-230.33862251,-230.33780544,-230.23136521,Type_2
0117_3,2,1,-230.38267188,-230.36458437,-230.26956883,Type_3
0117_5,2,1,-230.37889908,-230.3553687,-230.25951776,Type_3
0117_7,2,1,-230.38369239,-230.36653641,-230.2671112,Type_3
0117_8,2,1,-230.35068531,-230.34272995,-230.24097222,Type_3
0117_9,2,1,-230.34451934,-230.34248585,-230.24670295,Type_3
0118_11,2,1,-230.35372855,-230.34426808,-230.25117024,Type_3
0118_12,2,1,-230.34571795,-230.34079291,-230.23907415,Type_3
0118_13,2,1,-230.35311388,-230.35213874,-230.23264397,Type_2
0118_14,2,1,-230.35854979,-230.35797352,-230.23931826,Type_2
0118_15,2,1,-230.34672596,-230.34524597,-230.24359537,Type_2
0118_16,2,1,-230.33793787,-230.33496912,-230.24348129,Type_3
0118_17,2,1,-230.34494732,-230.34416726,-230.20518624,Type_1
0118_18,2,1,-230.34573525,-230.34477393,-230.20296864,Type_1
0118_19,2,1,-230.36344281,-230.36153958,-230.25134971,Type_2
0118_20,2,1,-230.355836,-230.3491398,-230.2306731,Type_1
0118_21,2,1,-230.34186962,-230.33060814,-230.25731463,Type_2
0118_4,2,1,-230.36575844,-230.35601618,-230.23853252,Type_3
0118_6,2,1,-230.37400788,-230.36266593,-230.24990301,Type_3
0118_7,2,1,-230.37482764,-230.37057817,-230.2700769,Type_2
0118_8,2,1,-230.32180491,-230.32115455,-230.23199399,Type_2
0119_10,2,1,-230.33261623,-230.32539494,-230.23948556,Type_3
0119_11,2,1,-230.34294434,-230.33980172,-230.2012417,Type_1
0119_3,2,1,-230.34767109,-230.34677825,-230.2628965,Type_3
0119_5,2,1,-230.35846405,-230.33746345,-230.2649682,Type_3
0119_6,2,1,-230.33692151,-230.32459509,-230.23964149,Type_3
0119_7,2,1,-230.34097652,-230.33665773,-230.25530381,Type_3
