idx,cluster
0081_15,0
0041_6,0
0070_13,0
0178_7,1
0013_13,0
0096_8,0
0146_12,1
0020_7,0
0141_3,0
0065_7,0
0117_9,1
0098_7,0
0135_17,0
0119_6,1
0160_16,0
0083_4,1
0011_16,0
0161_6,0
0124_6,0
0013_8,0
0044_17,0
0056_8,0
0147_5,0
0139_17,0
0062_13,0
0081_6,1
0037_9,0
0054_12,0
0163_4,1
0072_9,0
0061_3,0
0154_12,0
0029_12,0
0039_6,1
0039_7,1
0154_13,0
0037_8,0
0126_5,1
0072_8,0
0163_5,0
0054_13,0
0081_7,1
0062_12,1
0058_6,1
0139_16,0
0116_22,0
0013_9,0
0147_4,1
0056_9,0
0044_16,0
0161_7,0
0124_7,0
0119_7,1
0160_17,0
0098_6,0
0135_16,0
0043_5,0
0152_8,0
0117_8,1
0020_6,1
0065_6,0
0148_16,0
0096_9,0
0178_6,1
0070_12,0
0120_3,1
0041_7,0
0176_9,1
0067_4,0
0081_14,0
0158_11,1
0081_16,0
0041_5,1
0150_8,0
0067_6,0
0069_9,0
0148_14,0
0048_14,1
0013_10,0
0043_7,0
0174_9,0
0065_4,0
0131_9,0
0020_4,1
0135_14,0
0160_15,0
0119_5,1
0011_15,0
0083_7,1
0147_6,0
0116_20,0
0035_8,0
0118_19,0
0124_5,1
0070_8,0
0161_5,0
0137_11,0
0139_14,0
0149_9,0
0162_10,0
0153_24,0
0153_18,0
0054_9,0
0054_11,0
0163_7,0
0126_7,0
0128_8,0
0039_5,1
0029_11,0
0029_10,0
0128_9,0
0163_6,0
0054_10,0
0154_10,0
0054_8,0
0153_25,0
0139_15,0
0037_10,0
0137_10,0
0118_18,0
0035_9,0
0161_4,0
0070_9,0
0063_3,1
0147_7,0
0044_15,0
0011_14,0
0083_6,1
0160_14,0
0135_15,0
0098_5,0
0065_5,0
0174_8,0
0048_15,0
0148_15,0
0070_11,0
0178_5,0
0069_8,0
0067_7,0
0150_9,0
0158_10,1
0081_17,0
0156_11,0
0074_9,0
0056_11,0
0143_7,0
0106_7,0
0087_6,1
0081_13,0
0108_8,1
0019_5,0
0070_15,0
0015_8,0
0146_14,0
0085_4,0
0148_11,0
0078_4,1
0169_9,1
0160_10,0
0135_11,0
0026_7,0
0044_11,0
0063_7,0
0154_9,0
0144_11,0
0111_9,0
0000_4,0
0116_19,0
0111_10,0
0011_10,1
0118_20,0
0062_15,0
0039_11,0
0061_5,1
0170_8,0
0135_8,0
0047_6,1
0153_21,1
0158_5,1
0049_8,0
0153_20,0
0163_3,1
0054_15,0
0170_9,0
0135_9,0
0139_10,0
0062_14,0
0039_10,0
0118_21,0
0011_11,0
0116_18,0
0111_8,1
0144_10,0
0026_6,0
0063_6,0
0044_10,0
0135_10,0
0160_11,0
0169_8,1
0013_14,0
0085_5,0
0148_10,0
0146_15,0
0104_4,1
0015_9,0
0043_3,0
0167_7,1
0122_7,0
0070_14,0
0108_9,0
0081_12,0
0143_6,0
0056_10,0
0106_6,0
0031_8,0
0156_10,0
0120_5,1
0074_8,0
0165_5,0
0106_4,1
0017_9,0
0056_12,0
0052_9,0
0165_7,0
0120_7,0
0156_12,0
0081_10,1
0087_5,1
0019_6,0
0141_6,0
0104_6,1
0146_17,0
0033_8,0
0076_8,0
0167_5,1
0148_12,0
0085_7,0
0078_7,0
0160_13,0
0119_3,1
0135_12,0
0124_3,1
0144_12,0
0044_12,0
0172_9,0
0063_4,1
0137_9,0
0026_4,0
0011_13,0
0139_6,0
0139_12,0
0039_12,0
0062_16,0
0047_5,1
0061_6,1
0158_7,1
0158_6,1
0153_23,0
0156_9,0
0047_4,1
0039_13,0
0062_17,0
0139_13,0
0139_7,0
0058_3,1
0111_12,0
0011_12,0
0172_8,0
0044_13,0
0026_5,0
0137_8,0
0000_6,0
0144_13,0
0135_13,0
0160_12,0
0078_6,0
0148_13,0
0085_6,0
0048_13,0
0033_9,0
0167_4,1
0141_7,0
0098_18,0
0146_16,0
0019_7,0
0081_11,0
0165_6,0
0156_13,0
0120_6,0
0017_8,1
0052_8,0
0056_13,0
0017_14,0
0117_14,0
0142_15,0
0055_9,0
0144_4,0
0119_11,0
0010_21,1
0003_3,1
0046_3,0
0162_7,0
0031_10,0
0131_10,0
0038_5,0
0064_11,0
0085_12,0
0082_7,0
0000_18,0
0052_10,1
0009_14,0
0160_5,0
0071_8,0
0152_10,0
0109_14,0
0034_8,0
0155_19,0
0105_14,0
0157_20,0
0042_7,0
0021_4,0
0130_9,0
0150_15,0
0175_9,1
0123_10,0
0023_10,0
0176_11,0
0009_8,0
0015_11,0
0097_12,1
0140_10,0
0066_6,0
0023_6,0
0040_10,0
0068_11,0
0068_9,0
0166_15,0
0068_8,1
0142_3,1
0066_7,0
0023_7,0
0040_4,1
0140_11,1
0151_9,0
0097_13,0
0015_10,0
0118_4,1
0009_9,0
0023_11,0
0099_5,1
0123_11,0
0130_8,0
0021_5,0
0175_8,0
0064_5,0
0150_14,0
0042_6,0
0157_21,0
0087_16,0
0105_15,0
0059_5,0
0071_9,0
0160_4,0
0155_18,0
0034_9,0
0009_15,0
0146_7,1
0155_24,0
0000_19,0
0064_10,0
0038_4,0
0164_10,0
0131_11,0
0031_11,0
0127_6,0
0162_6,0
0055_8,0
0142_14,1
0010_20,0
0117_15,0
0080_4,0
0080_6,0
0017_17,0
0073_9,0
0127_4,1
0010_22,0
0142_16,0
0131_13,0
0064_12,0
0082_4,1
0085_11,0
0146_5,1
0057_8,0
0012_8,0
0052_13,0
0138_3,1
0059_7,0
0157_23,0
0087_14,0
0140_3,1
0064_7,0
0042_4,1
0123_13,0
0176_12,0
0118_6,1
0097_11,0
0015_12,0
0023_5,0
0040_13,1
0140_13,0
0040_6,1
0068_12,1
0068_13,0
0140_12,0
0040_12,1
0132_9,0
0177_9,1
0097_10,0
0118_7,0
0176_13,0
0123_12,0
0116_8,0
0042_5,0
0064_6,0
0087_15,0
0097_9,1
0157_22,0
0057_9,0
0160_7,0
0085_10,0
0064_13,0
0131_12,0
0010_23,0
0142_17,0
0073_8,0
0127_5,0
0017_16,0
0112_8,1
0003_5,1
0046_5,0
0142_13,1
0117_12,0
0080_3,0
0017_12,0
0159_7,0
0044_7,0
0109_12,0
0052_16,0
0009_12,0
0173_9,1
0155_23,0
0174_12,0
0138_6,0
0150_13,0
0166_5,1
0077_8,0
0032_8,0
0105_12,0
0176_17,0
0079_7,1
0123_16,0
0178_12,0
0053_9,1
0040_16,0
0016_9,0
0140_16,0
0164_7,0
0097_14,0
0066_12,0
0166_12,0
0066_13,0
0097_15,0
0099_10,0
0164_6,0
0142_5,1
0053_8,1
0016_8,0
0040_17,0
0099_3,1
0176_16,0
0079_6,1
0087_10,0
0105_13,0
0032_9,0
0123_4,1
0105_7,0
0150_12,0
0140_7,1
0021_12,0
0174_13,0
0155_22,0
0173_8,1
0062_5,1
0009_13,0
0109_13,0
0159_6,0
0017_13,0
0117_13,0
0144_3,0
0142_12,1
0003_4,1
0046_4,0
0157_9,1
0010_24,0
0142_10,1
0171_8,0
0046_6,0
0003_6,1
0010_18,1
0017_11,0
0117_11,0
0048_9,0
0131_15,0
0062_7,1
0009_11,0
0052_15,0
0109_11,0
0155_20,0
0174_11,0
0138_5,0
0021_10,0
0166_6,0
0150_10,0
0014_8,0
0157_19,0
0084_4,1
0176_14,0
0178_11,0
0123_15,0
0140_15,0
0075_9,0
0164_4,0
0030_9,1
0040_15,0
0086_6,1
0166_11,0
0109_8,0
0066_11,0
0068_14,0
0033_10,0
0088_9,1
0088_8,1
0066_10,0
0109_9,1
0040_14,1
0140_14,0
0078_10,0
0178_10,0
0123_14,0
0079_5,1
0176_15,0
0157_24,0
0084_5,1
0051_9,0
0150_11,0
0140_4,1
0014_9,0
0105_4,1
0166_7,0
0021_11,0
0138_4,1
0029_9,0
0174_10,0
0155_21,0
0000_20,0
0109_10,0
0044_5,1
0009_10,0
0062_6,1
0052_14,0
0131_14,0
0159_5,0
0117_10,0
0010_19,1
0017_10,0
0003_7,0
0010_25,0
0142_11,1
0134_4,1
0159_8,0
0048_5,0
0155_10,1
0044_8,0
0155_5,1
0173_6,1
0055_10,0
0000_11,0
0091_4,0
0082_12,1
0029_4,1
0173_14,0
0126_15,0
0157_15,1
0105_9,1
0014_4,0
0032_7,1
0077_7,0
0059_10,0
0084_8,1
0171_11,0
0079_8,0
0124_10,0
0040_19,0
0053_6,1
0164_8,0
0149_15,0
0112_11,1
0109_4,0
0134_15,0
0088_5,0
0034_14,0
0134_14,0
0088_4,1
0112_10,1
0164_9,0
0075_4,1
0040_18,0
0016_7,1
0124_11,0
0168_4,0
0171_10,0
0084_9,1
0059_11,0
0077_6,0
0140_8,1
0014_5,0
0105_8,1
0126_14,0
0026_14,0
0173_15,0
0082_13,0
0091_5,0
0000_10,0
0055_11,0
0173_7,1
0012_3,1
0044_9,0
0163_10,0
0134_5,0
0017_20,0
0157_6,1
0112_6,1
0055_3,1
0010_3,0
0134_7,0
0112_4,1
0003_9,1
0046_9,0
0010_17,1
0062_8,1
0155_6,1
0091_7,0
0082_11,0
0000_12,0
0148_3,1
0029_7,1
0126_16,0
0166_9,0
0051_7,0
0059_13,0
0071_12,0
0171_12,0
0168_6,0
0124_13,0
0030_6,1
0075_6,1
0053_5,1
0095_3,0
0112_12,1
0149_16,0
0109_7,1
0088_6,1
0088_7,1
0109_6,1
0112_13,1
0016_4,0
0114_3,0
0124_12,0
0009_3,0
0171_13,0
0071_13,0
0059_12,0
0080_15,0
0157_17,1
0051_6,1
0077_5,0
0166_8,0
0123_8,1
0126_17,0
0173_16,0
0000_13,0
0082_10,0
0091_6,0
0071_3,1
0062_9,1
0048_7,0
0010_16,0
0003_8,1
0046_8,0
0157_5,1
0171_6,0
0010_12,1
0055_6,0
0162_8,0
0082_14,0
0082_8,0
0057_4,1
0155_16,1
0034_7,0
0155_3,1
0071_7,1
0126_13,0
0026_13,0
0080_11,1
0042_8,0
0130_6,1
0171_17,0
0168_3,0
0149_13,0
0095_6,0
0151_7,0
0023_9,0
0066_9,0
0034_13,0
0134_13,0
0061_12,0
0061_13,0
0034_12,0
0023_8,0
0132_5,0
0177_5,0
0151_6,0
