feature,reduction,n_components,linear_accuracy,trustworthiness,silhouette,pearson_dist_corr
SOAP,NONE,,0.9063829787234042,,,
SOAP,PCA,1.0,0.4765957446808511,0.8334752923030647,-0.24789626994405048,0.9390601035398307
SOAP,PCA,2.0,0.6808510638297872,0.9733712563941584,-0.12046497256498502,0.9941035286514011
SOAP,PCA,3.0,0.7148936170212766,0.9982629395446941,-0.10807871361000426,0.9997256714938266
SOAP,UMAP,1.0,0.6042553191489362,0.9741257513817443,-0.17160667479038239,0.7677726366145424
SOAP,UMAP,2.0,0.7063829787234043,0.9900929021377358,-0.1265779435634613,0.9236153029745392
SOAP,UMAP,3.0,0.7191489361702128,0.9930609962896052,-0.11869034171104431,0.9295172761911209
SOAP,TSNE,1.0,0.5106382978723404,0.9870199369517412,-0.2344112992286682,0.848413539792879
SOAP,TSNE,2.0,0.723404255319149,0.9935740440125771,-0.11762554943561554,0.9116497678474854
SOAP,TSNE,3.0,0.7191489361702128,0.9960732855636781,-0.09687551856040955,0.9536816526555566
inv_eigenval,NONE,,0.7489361702127659,,,
inv_eigenval,PCA,1.0,0.43829787234042555,0.4983347381420533,-0.30305633091352685,0.003742220333291074
inv_eigenval,PCA,2.0,0.5446808510638298,0.5003646836630662,-0.15714444074322786,-0.01117286926324508
inv_eigenval,PCA,3.0,0.5787234042553191,0.49749155729051386,-0.08849118246999345,-0.01116378601787387
inv_eigenval,UMAP,1.0,0.3617021276595745,0.5025167200567885,-0.043239347636699677,-0.004616549064228871
inv_eigenval,UMAP,2.0,0.3574468085106383,0.49487894564332535,-0.21993473172187805,-0.0061521224379160605
inv_eigenval,UMAP,3.0,0.34893617021276596,0.5030152085170947,-0.18291296064853668,-0.006446673627288414
inv_eigenval,TSNE,1.0,0.548936170212766,0.5014151677215973,-0.13049323856830597,-0.006648259416511377
inv_eigenval,TSNE,2.0,0.6340425531914894,0.49783181538854937,-0.0263645239174366,-0.005855605717780586
inv_eigenval,TSNE,3.0,0.6510638297872341,0.496501601334131,-0.005488001275807619,-0.014233302050951543
inverse_dist_matrix,NONE,,0.8765957446808511,,,
inverse_dist_matrix,PCA,1.0,0.7021276595744681,0.7948741787781379,-0.09077833111488817,0.8621636992433563
inverse_dist_matrix,PCA,2.0,0.7106382978723405,0.9279878914233749,-0.07302485211259423,0.9589245344458966
inverse_dist_matrix,PCA,3.0,0.7063829787234043,0.9559417496464575,-0.026874041698777065,0.9755633399218282
inverse_dist_matrix,UMAP,1.0,0.7957446808510639,0.9331360319209986,-0.08368732780218124,0.646703419749858
inverse_dist_matrix,UMAP,2.0,0.7829787234042553,0.9610230801265696,-0.12075880914926529,0.6541071339007608
inverse_dist_matrix,UMAP,3.0,0.8127659574468085,0.972569979613337,-0.09807828068733215,0.6215722388811235
inverse_dist_matrix,TSNE,1.0,0.7659574468085106,0.9658897908159136,-0.08025221526622772,0.7555907897292877
inverse_dist_matrix,TSNE,2.0,0.7276595744680852,0.9714772219596546,-0.02574971504509449,0.8425138903735705
inverse_dist_matrix,TSNE,3.0,0.7446808510638298,0.9789575789645999,0.008388779126107693,0.8200750911569207
MBTR,NONE,,0.8297872340425532,,,
MBTR,PCA,1.0,0.4340425531914894,0.6830668015184498,-0.3509367674525911,0.6682031924814401
MBTR,PCA,2.0,0.7617021276595745,0.8283288516178334,-0.09065682440654263,0.7875465801713294
MBTR,PCA,3.0,0.7489361702127659,0.9106416754829038,-0.08556207001172349,0.8858386013203992
MBTR,UMAP,1.0,0.7148936170212766,0.8466753701988152,-0.07388582825660706,0.40204121781833757
MBTR,UMAP,2.0,0.7659574468085106,0.9268827916536255,-0.04978008195757866,0.42057544931051893
MBTR,UMAP,3.0,0.7957446808510639,0.9546447188861351,-0.05355624854564667,0.4006892723959454
MBTR,TSNE,1.0,0.7063829787234043,0.9440548876812009,-0.07283331453800201,0.4142885152567948
MBTR,TSNE,2.0,0.7489361702127659,0.9482374608350291,-0.010962377302348614,0.5605615765168198
MBTR,TSNE,3.0,0.7446808510638298,0.9627119545957938,0.015324749983847141,0.5857106440530611
flatten_cartesian,NONE,,0.8468085106382979,,,
flatten_cartesian,PCA,1.0,0.7021276595744681,0.7628758017294482,-0.18486220580046073,0.7637718441969984
flatten_cartesian,PCA,2.0,0.6936170212765957,0.9095319197052969,-0.16383968185094389,0.8938016171303353
flatten_cartesian,PCA,3.0,0.6978723404255319,0.9530633760269546,-0.14207909365105634,0.9395436522649891
flatten_cartesian,UMAP,1.0,0.7574468085106383,0.944055478920294,-0.1800461858510971,0.6357627612177612
flatten_cartesian,UMAP,2.0,0.7617021276595745,0.9683298345528255,-0.1452065110206604,0.5736392996669715
flatten_cartesian,UMAP,3.0,0.7617021276595745,0.979317421857592,-0.1267358809709549,0.6100688516713776
flatten_cartesian,TSNE,1.0,0.6893617021276596,0.9729827384051547,-0.1549900770187378,0.6283840278269829
flatten_cartesian,TSNE,2.0,0.7404255319148936,0.9792073035765161,-0.12322601675987244,0.7953556550644548
flatten_cartesian,TSNE,3.0,0.7489361702127659,0.9842800610897793,-0.02561102993786335,0.792001465773197
