IC_Spawn,singlet_1,singlet_2
0620_3,-77.76934632,-77.76823946
0620_4,-77.76088706,-77.76035461
0621_2,-77.79759477,-77.7958791
0621_3,-77.77993899,-77.77949885
0622_2,-77.7961206,-77.79533319
0622_3,-77.7974309,-77.79718802
0622_4,-77.82050299,-77.81909796
0623_2,-77.80659012,-77.80543102
0623_3,-77.79694328,-77.79652106
0624_2,-77.78518953,-77.78014783
0624_3,-77.76048116,-77.75320511
0624_4,-77.75885546,-77.75554666
0625_2,-77.74848725,-77.74495766
0625_3,-77.72493851,-77.71771077
0625_4,-77.74041866,-77.73533231
0625_5,-77.75935076,-77.75505613
0626_2,-77.8005515,-77.79378109
0626_3,-77.75531816,-77.75384274
0627_2,-77.80218543,-77.79861763
0627_3,-77.75165957,-77.74826365
0627_4,-77.77975559,-77.77929554
0628_2,-77.77165554,-77.77071196
0628_3,-77.7930533,-77.79237972
0628_4,-77.79730149,-77.79704006
0628_5,-77.78699795,-77.78633059
0629_2,-77.76527086,-77.7635611
0629_3,-77.78147172,-77.77868369
0629_4,-77.72427008,-77.71386121
0629_5,-77.70341632,-77.70241581
0629_6,-77.71569433,-77.71218585
0630_2,-77.78143658,-77.78020888
0630_3,-77.78946074,-77.78895004
0630_4,-77.78926204,-77.78916738
0630_5,-77.791942,-77.79087227
0631_2,-77.80036374,-77.79938008
0631_3,-77.74462593,-77.74328776
0631_4,-77.70134821,-77.69830266
0631_5,-77.73059268,-77.72322072
0631_6,-77.71477246,-77.71390517
0631_7,-77.71836584,-77.71381579
0632_2,-77.70029255,-77.69033352
0632_3,-77.75931835,-77.75336262
0632_4,-77.70806781,-77.70757276
0632_5,-77.77849516,-77.77592109
0633_2,-77.70198983,-77.69398496
0633_3,-77.69960998,-77.69125054
0633_4,-77.68134146,-77.67548566
0633_5,-77.72915487,-77.72444964
0634_2,-77.83846737,-77.83790541
0634_3,-77.7915573,-77.7910859
0634_4,-77.7867107,-77.78492959
0634_5,-77.75860531,-77.75801706
0635_2,-77.72655315,-77.72021982
0635_3,-77.71110427,-77.71061694
0635_4,-77.68613521,-77.68458256
0636_2,-77.71260092,-77.70546376
