atom_index,element,meci_x,meci_y,meci_z,avg_x,avg_y,avg_z,dev_x,dev_y,dev_z,dev_norm,var_x,var_y,var_z,var_norm,skew_x,skew_y,skew_z,skew_norm,kurtosis,shapiro
0,C,0.6241359075,-0.952028567,-0.154684443,0.3288016893428571,-1.0454486551142854,-0.3187950210857143,-0.29533421815714295,-0.09342008811428537,-0.16411057808571428,0.3505451399141044,0.0048554085213561625,0.015210849879448138,0.009060037201287306,0.018358355592292992,0.1476823638632147,0.6290327998522312,1.0557943572032051,1.237818269613231,-0.3416477889167786,0.5346137469725436
1,C,1.8285030938,-0.9738225173,0.6625323879,1.665938294942857,-0.9459707841142864,0.283114555942857,-0.16256479885714303,0.027851733185713656,-0.379417831957143,0.4137159944647661,0.00727411643111232,0.004822464516621037,0.012181391052165817,0.014985166726908066,0.7748899393649984,-0.16782839290665538,-0.9883150772360852,1.2670388626584783,0.7528650199026479,1.784444052991487e-07
2,C,2.2260581941,0.0693616801,-0.2719357383,2.4614443395428562,0.22368842031428574,-0.04163677120000002,0.23538614544285608,0.15432674021428572,0.23029896709999997,0.3636770469234207,0.006810577062253928,0.002381924150857352,0.005315662639974768,0.008961796242013114,0.137048622518297,-0.34752497610446836,-0.10156665746095236,0.3871326902476261,-0.08907737457762721,0.9153338234070622
3,C,1.6112940262,1.395216482,-0.2085247407,1.7815141514000015,1.418956671971428,-0.23361018485714274,0.17022012520000152,0.023740189971428016,-0.025085444157142756,0.17368870761090027,0.0032800296583308302,0.005358845127097909,0.006377896658873555,0.008952842087684855,-0.10407054130146817,0.12091027568245429,-0.18541411581872022,0.24459837832092324,0.08085089051908545,0.9375632089734249
4,C,0.2469008796,1.4267765951,-0.0330473626,0.40204098617142864,1.369030776171429,0.013473216942857143,0.15514010657142863,-0.05774581892857089,0.04652057954285714,0.17195114594479685,0.0037391486420610145,0.010340685492282582,0.010767381129031937,0.01538985072687722,-0.4556762755003543,-0.9190226351809452,-0.9429620530982975,1.3933488097429731,0.41420360855944693,0.0002902094882447145
5,C,-0.3104557248,0.1700004314,-0.0693445276,-0.2070099723714286,0.10988935682857151,0.4212965041142858,0.1034457524285714,-0.0601110745714285,0.4906410317142858,0.5050178085803548,0.013708536197383608,0.00313389868569558,0.012765617909370537,0.018992269118123378,-0.7210672480351139,0.7100086352427422,0.7255973664962061,1.245207523497358,-0.01818790792650482,4.7310819051539506e-09
6,H,0.3765120651,-1.8160902685,-0.7445976995,-0.07673589462857147,-1.6643659342571424,-0.8531391142857139,-0.45324795972857146,0.15172433424285758,-0.10854141478571389,0.49013796560074335,0.04670643917993176,0.14230886771468543,0.1818466090923524,0.235587551728633,0.775435569723809,0.6632076122241909,0.5640077669698756,1.1658685264245479,0.37481416233375686,1.1340563167377544e-05
7,H,2.4059016388,-1.8636238125,0.7922446103,1.9662087488285704,-1.6189678320285714,0.9880152118571427,-0.43969288997142963,0.24465598047142856,0.19577060155714265,0.5399189890214172,0.03660276477983628,0.04922941338719372,0.12683517380172987,0.14089165640764628,0.21534735651517878,0.22102921794633773,-1.4886311393094005,1.52027993082381,-0.6221181421344926,0.002310337127562238
8,H,3.0493025611,-0.111665364,-0.9394634789,3.50992893414286,0.1485633746857142,-0.08215036828571433,0.4606263730428597,0.2602287386857142,0.8573131106142857,1.007413232795619,0.0130548031799248,0.023221686953123353,0.06984061100871242,0.07474881655976713,-0.11130401631104725,-0.08129839957635897,-0.2449010916730698,0.28102412445074626,0.05931096103169198,0.11838470631795625
9,H,2.2204448567,2.2733104842,-0.3193670793,2.2629882468000013,2.319940272114288,-0.4983163520285715,0.04254339010000141,0.046629787914287846,-0.17894927272857147,0.1897554198757364,0.01901111800242708,0.016557027978286162,0.061908681985469685,0.06684491520193572,-0.016807958685765317,-0.2894781661179829,0.14151171799617415,0.32265412203231125,0.9793514325001449,3.677732829581528e-10
10,H,-0.3205540482,2.3289898378,0.070908689,-0.19959838628571439,2.2028861643999993,-0.07267430051428571,0.12095566191428561,-0.12610367340000073,-0.14358298951428572,0.22616030481045185,0.019592265735192325,0.034700834078352054,0.1492598661676664,0.15448790376842259,0.42772242432688423,-0.8928723065630962,-0.6122779822065891,1.1640669034013222,1.10148650482056,5.93488110358877e-19
11,H,-1.368767362,-0.0154246762,-0.0604881814,-0.9404396782571426,0.023364603628571432,1.1080584069142854,0.42832768374285746,0.03878927982857143,1.1685465883142854,1.2451788393444119,0.08837599933265908,0.029782052521923136,0.06244507390864934,0.11223491063800704,-0.20918770754714197,0.07012621812341427,-0.8857409890268791,0.9128057203476736,0.34379218640620746,0.000506192548294182
