atom_index,element,meci_x,meci_y,meci_z,avg_x,avg_y,avg_z,dev_x,dev_y,dev_z,dev_norm,var_x,var_y,var_z,var_norm,skew_x,skew_y,skew_z,skew_norm,kurtosis
0,C,0.3679167953,-1.0340841374,-0.1440494754,0.3440228729274609,-1.0673724795077728,-0.03141086715025905,-0.023893922372539067,-0.03328834210777276,0.11263860824974094,0.11986029081838424,0.002839011324645246,0.004620529623522915,0.0089782581072719,0.010488965532601887,-0.09307525804037349,0.5091273988309323,-0.8680441755300508,1.0106306954428403,0.34505774390938626
1,C,1.7960680694,-1.0203220408,0.1783341229,1.8185148154145065,-1.025182334378239,0.17615513549222792,0.02244674601450658,-0.004860293578238917,-0.002178987407772087,0.0230700421852598,0.0026796462972621944,0.002629476171696821,0.005432417905866082,0.006603469809117536,-0.16132438456455536,0.04010219243420332,0.08592131514456199,0.18712620150404796,2.824885820421363
2,C,2.4702838601,0.1740741121,-0.0067012391,2.4967231788860085,0.17149457468911908,-0.06521115746113985,0.02643931878600858,-0.0025795374108809332,-0.058509918361139855,0.06425809005681364,0.0027198447627577887,0.0015773878951321316,0.005784855733769193,0.006584091734304183,-0.13570041970582367,0.6062685421116738,0.25651119442597864,0.6721414597600667,0.010963334948762338
3,C,1.7195936094,1.3528124554,-0.1644233864,1.7288017371761648,1.3611936560621765,-0.21317954873056996,0.009208127776164865,0.008381200662176402,-0.04875616233056995,0.05032094501186095,0.0023575991013147723,0.0022356438799163566,0.005499458553142835,0.006387520759892963,0.6462859340298508,0.04942918819189276,0.03613974034541882,0.6491801244665308,1.1715938715081657
4,C,0.3165087038,1.3930113953,-0.0752538007,0.3302488432124353,1.4000034791709832,0.013372225414507763,0.013740139412435293,0.006992083870983157,0.08862602611450776,0.08995695177573233,0.0022825988616720833,0.002653002816276163,0.009286030348599473,0.009923660672432649,0.226421376025635,-0.20770336926492525,-0.3942686373080349,0.49985506648435474,0.6054828378499986
5,C,-0.3695408403,0.2053236568,0.1081383544,-0.33111916401554387,0.20198569963730592,0.3049747546373058,0.03842167628445614,-0.003337957162694083,0.19683640023730578,0.20057900095700035,0.0035504454698564243,0.00213196212192676,0.0041748096261571685,0.005880472849899829,0.017925329571958155,-0.6421847876587277,0.18130570726746362,0.6675285600094604,0.4615874010526593
6,H,0.6072905139,-0.6706573427,-1.1781798654,0.4196255508549221,-0.8750639158808292,-1.0603760786787573,-0.1876649630450779,-0.20440657318082922,0.1178037867212427,0.30145964519335616,0.07600521110139799,0.16016233946501715,0.04240420979198061,0.18228242950311413,-0.9826457267719684,-1.6943159419613947,1.523289449375682,2.4812718275326078,2.404080668854049
7,H,2.3306637282,-1.9031694839,0.4871633252,2.2766574550777197,-1.739810131347151,0.5251822024093263,-0.054006273122280124,0.16335935255284895,0.03801887720932634,0.1762055351778205,0.07013084832956416,0.1621743718062426,0.14927657152311682,0.23130576638698389,-1.6191736739848508,1.987316948403114,0.40709769962637393,2.5955501491932207,1.8635587361583914
8,H,3.537235207,0.2467923497,0.1168631152,3.5543893188341937,0.24039577005181328,-0.020437906373056976,0.017154111834193575,-0.006396579648186712,-0.13730102157305699,0.13851624565017878,0.007200126717625392,0.017045915408455632,0.04524053828551919,0.048878536815514594,-0.06942841304352722,-0.06173621051790219,0.1474904118309064,0.17431318311850005,0.23625061426418315
9,H,2.2502836101,2.2858282065,-0.2429731954,2.2381042831347133,2.2763362610362696,-0.38269827095854947,-0.012179326965286563,-0.009491945463730556,-0.13972507555854946,0.1405757083348903,0.014366288862022434,0.010967989061033467,0.05796123647050876,0.06071401792749558,-0.18043538822797556,0.030777593974445544,-0.04134451595214292,0.18765276074482115,4.35138618477324
10,H,-0.1748979323,2.3478965784,-0.0002516038,-0.1553700773056995,2.3318860307772025,0.06863881217616581,0.019527854994300514,-0.01601054762279741,0.06889041597616581,0.07337277539543842,0.016878208766772432,0.009376267288216188,0.07527011356965002,0.07770700300631107,0.10350115053886219,-0.10546755065480201,-0.35170132879300153,0.38148357379938974,0.29375319369323805
11,H,-1.4154429244,0.2168869929,0.3662997375,-1.268448056165802,0.2265323471502591,0.7343176971502591,0.14699486823419794,0.009645354250259114,0.3680179596502591,0.3964060327125988,0.055916956382715384,0.02005782230688077,0.07000973188157211,0.09181712696948491,3.1422249198794723,-0.1115884708958409,0.226283013863735,3.152337773194948,4.499955716736363
