atom_index,element,meci_x,meci_y,meci_z,avg_x,avg_y,avg_z,dev_x,dev_y,dev_z,dev_norm,var_x,var_y,var_z,var_norm,skew_x,skew_y,skew_z,skew_norm,kurtosis,shapiro
0,C,0.3758624787,-0.8879015146,-0.2438386052,0.4101007811320754,-0.9464077642452837,-0.27758172002358494,0.034238302432075374,-0.058506249645283726,-0.03374311482358494,0.0757221262180623,0.00779521176802174,0.01313408145479241,0.0036370295952835607,0.015700235872317173,0.11849462581423888,0.07512840404512769,0.8131850776493462,0.825200111459516,0.10852705121671002,0.0008124622903247929
1,C,1.751703056,-0.9755036159,0.2076452759,1.7406531683018862,-1.0144931873113212,0.3199413371226415,-0.01104988769811377,-0.0389895714113212,0.11229606122264149,0.11938463914213875,0.0039679828687011155,0.007630168205187508,0.013427534955209474,0.015945627923011754,0.12338565220414636,-0.20556979530132757,-0.004698152045611822,0.23980206951299643,-0.8880993829210464,2.925209857429574e-09
2,C,2.5148615984,0.1994492246,-0.0546631929,2.451547799268871,0.18026517686320767,-0.046661222004716944,-0.06331379913112922,-0.01918404773679233,0.008001970895283053,0.0666385503008091,0.009329095390930518,0.0028522975038640626,0.004992126063210735,0.010958510140279933,-0.0585906485118425,-0.07475849410846241,0.13786652840674155,0.167418267191278,-0.5959305044651337,1.7767188007500487e-07
3,C,1.7638505559,1.3267190031,-0.2850981291,1.727347976509435,1.3636713431603762,-0.28964091271226416,-0.03650257939056489,0.036952340060376176,-0.0045427836122641785,0.05213972210369011,0.005071648830278717,0.0058430358816983,0.00807733973978739,0.011185084150082642,-0.21743722741854152,0.046266385289390505,0.20359004072456105,0.30144391013493255,0.856459386436764,4.613721950045204e-09
4,C,0.3786495769,1.275562882,0.042703541,0.36361474146226375,1.3757108781367917,0.04938569099056604,-0.01503483543773626,0.1001479961367917,0.006682149990566044,0.10149048494982708,0.0036004464863364813,0.009498268439010495,0.007931467100966308,0.012887532293429432,-0.3456237686035227,0.05402226446461065,-0.4481185499951394,0.5684931216218293,-0.39558726363222085,4.344934224534178e-09
5,C,-0.31794143,0.1216353886,0.4867504122,-0.2807490821226418,0.1419120578301887,0.4087032416273583,0.0371923478773582,0.0202766692301887,-0.07804717057264166,0.08880188562241195,0.008356378986641511,0.0029460415229352124,0.013294012721384538,0.01597620119614097,0.1434074556741068,0.31084058242238644,-0.013175142060653584,0.342580137182423,-0.5469020538112721,1.5928715025843305e-06
6,H,0.0466170496,-1.2668854835,-1.2005043893,0.17113224636792446,-1.3033802066037738,-1.2260697198349058,0.12451519676792445,-0.036494723103773774,-0.025565330534905728,0.13224781724450144,0.05132381554461579,0.07854598174035535,0.034486599095617285,0.09996464778508356,0.1088266467606149,-0.21656624139051553,2.3311507967208662,2.343716751872441,4.8367083423007005,3.685753959049843e-16
7,H,1.8641968355,-1.3460966518,1.2209913904,2.070815751509434,-1.6897182502594343,0.9029415574999996,0.20661891600943383,-0.3436215984594344,-0.31804983290000044,0.5117840126346743,0.058852093902737615,0.09183866120948214,0.11524132706421514,0.15867725770572194,-0.25215525727981813,0.4705326596060734,-0.4802484236051049,0.7180681067315304,-1.014724184093178,8.452909025820417e-11
8,H,3.5708349109,0.2606636179,0.1378372493,3.475199057382075,0.16823618811320745,-0.10679737995283019,-0.09563585351792492,-0.09242742978679253,-0.2446346292528302,0.2784513388094303,0.020515972511942333,0.026285324181068697,0.12721497395431303,0.13151225415759243,-0.37653024180628364,-0.11587056656330974,-0.09339248922612195,0.4048742622521863,0.2358829325720584,4.849395855756288e-13
9,H,2.2057949666,2.2786410485,-0.5140301108,2.225469404316039,2.2531678481839625,-0.5661073158962265,0.019674437716038717,-0.025473200316037392,-0.052077205096226487,0.061220933710763446,0.019416676468218347,0.013509569139491778,0.05315481543250037,0.058180324741869155,-0.26311825848865206,0.034598145717629945,0.3616537005495827,0.4485773609517167,0.7986541432556127,4.695068172724617e-09
10,H,-0.2047650704,2.1716706328,-0.1012320481,-0.18046626620283016,2.2590152350000006,0.07237502610849061,0.024298804197169843,0.0873446022000004,0.1736070742084906,0.1958543531150663,0.019025670571393635,0.02469676042289232,0.11573544305947643,0.11986074793797277,0.05945647316236821,-0.16201606759874387,0.052081792749439026,0.18026866476751768,-0.04742133528718151,1.080079228255973e-09
11,H,-1.368514215,0.1497221842,0.6933482017,-0.9989335461556591,0.07546070047169817,1.0332005891509437,0.36958066884434093,-0.07426148372830182,0.3398523874509437,0.5075473219366501,0.14098436983533547,0.025949273541390268,0.1002929306625012,0.17495322025063104,0.41203025134183296,0.1118027480275824,-0.40733733261647914,0.5900783719392207,-1.052687738688496,2.2961935956758805e-13
