atom_index,element,meci_x,meci_y,meci_z,avg_x,avg_y,avg_z,dev_x,dev_y,dev_z,dev_norm,var_x,var_y,var_z,var_norm,skew_x,skew_y,skew_z,skew_norm,kurtosis,shapiro
0,C,0.28744309,-1.23069801,-0.32152507,0.39389693666666664,-1.0135237522222225,-0.09569068888888889,0.10645384666666663,0.21717425777777755,0.22583438111111115,0.33090519398053775,0.003747083425079466,0.009883689195340729,0.007842842294707211,0.01316199534889177,0.10841620841742164,-0.6217281806443387,-1.5352013617677724,1.659862411776516,1.8467267009762471,0.01950160962524522
1,C,1.59935905,-0.96992531,0.2790571,1.820786982222222,-1.0343595066666667,0.21151523333333336,0.22142793222222212,-0.06443419666666661,-0.06754186666666664,0.24029980986489655,0.007068982750404533,0.001003781785072508,0.003245138147353622,0.007842768426580621,-1.8818791449882266,0.4325723815787735,-0.8625081751018664,2.11483056857137,1.7717193653975682,0.021415727009857326
2,C,2.46428176,0.28741121,0.10229225,2.4712674611111107,0.1672212011111111,-0.05858305444444445,0.0069857011111107425,-0.12019000888888887,-0.16087530444444445,0.20093606405226924,0.0017665436879785662,0.0028033977697226762,0.004258193961275759,0.005395547374332685,0.1160984329566271,1.0343745354328426,1.3786471739565431,1.7274482788046814,2.2781869165723663,0.005190054061209763
3,C,1.71856884,1.44575364,-0.38706465,1.7243187755555556,1.3525886444444444,-0.2538322755555556,0.005749935555555474,-0.09316499555555557,0.1332323744444444,0.16267650031846756,0.0012228881805654913,0.002716205392400601,0.004423349356120982,0.00533284602835754,-1.3667103668175498,-0.046389530617826205,0.09412146996302616,1.3707326750411637,0.3846551443844102,0.6828438515672024
4,C,0.45240811,1.5214768,0.08099444,0.3250780355555556,1.429722118888889,0.028135924444444446,-0.12733007444444439,-0.09175468111111118,-0.052858515555555555,0.16560764484336574,0.003142465089696513,0.001779430008125301,0.006605735335250736,0.007528425951894477,0.9172434860307144,0.5875504014196813,-0.7716086451050085,1.3348898786323136,0.7711344621110672,0.2568576140010286
5,C,-0.11484715,0.0521911,0.43520763,-0.3241999977777778,0.18517496333333336,0.34829108444444445,-0.2093528477777778,0.13298386333333337,-0.08691654555555556,0.2628075506355079,0.007499945494279437,0.0033890863811461567,0.0022667307546060684,0.008536577606389447,1.4606531726233694,-0.9891078757001079,0.3798498333979323,1.8044744321821609,1.8138402979492776,0.0043110758001514175
6,H,0.04332044,-1.52841745,-1.39315671,0.1792217266666667,-1.1584031066666667,-1.1003423344444445,0.13590128666666668,0.3700143433333334,0.29281437555555545,0.4910397463770558,0.029145239626450953,0.05756283556757854,0.019988577573643352,0.06754604551623204,0.40249678049959786,-0.839905351820779,-0.4900980938334768,1.0524451529219636,1.874556067928527,0.021970926338474743
7,H,2.12305166,-1.68115384,0.86309853,2.329998218888889,-1.9350254611111108,0.6104100411111112,0.20694655888888924,-0.25387162111111095,-0.25268848888888884,0.4136775926473249,0.020144944062586465,0.012774752100271894,0.04966495299304691,0.055096466477531005,0.09922885357930587,0.8224869037293681,-0.5228756754668012,0.9796581261766014,-0.42323939664655486,0.984046164433025
8,H,3.42576241,0.03647463,-0.09039156,3.5336217088888886,0.21305724111111116,0.07192098222222222,0.10785929888888868,0.17658261111111115,0.16231254222222222,0.2629836653981787,0.007491951835332768,0.0072581637749804095,0.015666904405634615,0.018821853716960962,-0.19147775969197056,-0.5422155857599396,-0.26922028949639804,0.6349338848842254,0.74131459036479,0.16037775413686164
9,H,2.43246304,2.28724592,-0.72684645,2.27147508,2.256591951111111,-0.4096843777777778,-0.16098795999999993,-0.03065396888888916,0.31716207222222226,0.35699939653996154,0.009685212187319757,0.006447960630145817,0.0516061392816647,0.05290154197147654,0.37047260353244593,1.3301402269252403,0.2746168876288076,1.4078129876598566,-0.2447086761984716,0.9542063800335563
10,H,-0.13027843,2.43893773,0.18656509,-0.17920213666666665,2.3789856011111112,0.07676991222222222,-0.04892370666666665,-0.0599521288888889,-0.10979517777777777,0.1343233706231712,0.010298694267000022,0.0020413684470299903,0.02613592359965077,0.02816587991077947,-0.45506449881290045,-0.3058937114080765,-0.8565991203471593,1.0170627875103735,-0.7411318614257665,0.2474074925996148
11,H,-1.06792932,0.1435515,0.97458302,-1.3556069477777777,0.1724267088888889,0.6735139311111111,-0.2876776277777777,0.028875208888888892,-0.30106908888888884,0.41741441218124253,0.014422192320343509,0.01004056715457761,0.03855897300343245,0.04237460346941303,1.2902694375131443,-0.7314747367457324,0.0421814126989028,1.4837889955970827,-0.0057002249067581445,0.45511101334938986
